Zipcode,State,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
1824,MA,Middlesex County,Chelmsford,5/31/2022,6.3
1826,MA,Middlesex County,Dracut,5/31/2022,6.5
1827,MA,Middlesex County,Dunstable,5/31/2022,6.4
1830,MA,Essex County,Haverhill,5/31/2022,7.1
1832,MA,Essex County,Haverhill,5/31/2022,7.2
1833,MA,Essex County,Georgetown,5/31/2022,6.1
1834,MA,Essex County,Groveland,5/31/2022,6.3
1835,MA,Essex County,Haverhill,5/31/2022,6.5
1840,MA,Essex County,Lawrence,5/31/2022,6.3
1841,MA,Essex County,Lawrence,5/31/2022,6.2
1843,MA,Essex County,Lawrence,5/31/2022,6.8
1844,MA,Essex County,Methuen,5/31/2022,6.7
1845,MA,Essex County,North Andover,5/31/2022,6.5
1850,MA,Middlesex County,Lowell,5/31/2022,6
1851,MA,Middlesex County,Lowell,5/31/2022,6.5
1852,MA,Middlesex County,Lowell,5/31/2022,5.8
1854,MA,Middlesex County,Lowell,5/31/2022,7.6
1860,MA,Essex County,Merrimac,5/31/2022,6.3
1862,MA,Middlesex County,Billerica,5/31/2022,6.6
1863,MA,Middlesex County,Chelmsford,5/31/2022,6
1864,MA,Middlesex County,North Reading,5/31/2022,5.9
1867,MA,Middlesex County,Reading,5/31/2022,6.3
1876,MA,Middlesex County,Tewksbury,5/31/2022,6
1879,MA,Middlesex County,Tyngsboro,5/31/2022,6.3
1880,MA,Middlesex County,Wakefield,5/31/2022,6
1886,MA,Middlesex County,Westford,5/31/2022,5.8
1887,MA,Middlesex County,Wilmington,5/31/2022,6
1890,MA,Middlesex County,Winchester,5/31/2022,5.2
1901,MA,Essex County,Lynn,5/31/2022,5.9
1902,MA,Essex County,Lynn,5/31/2022,6
1904,MA,Essex County,Lynn,5/31/2022,6
1905,MA,Essex County,Lynn,5/31/2022,5.9
1906,MA,Essex County,Saugus,5/31/2022,6.1
1907,MA,Essex County,Swampscott,5/31/2022,5.9
1908,MA,Essex County,Nahant,5/31/2022,6.8
1913,MA,Essex County,Amesbury,5/31/2022,6.5
1915,MA,Essex County,Beverly,5/31/2022,6.3
1921,MA,Essex County,Boxford,5/31/2022,6.1
1922,MA,Essex County,Newbury,5/31/2022,6
1923,MA,Essex County,Danvers,5/31/2022,6.4
1929,MA,Essex County,Essex,5/31/2022,6.4
1930,MA,Essex County,Gloucester,5/31/2022,6.2
1938,MA,Essex County,Ipswich,5/31/2022,6.4
1940,MA,Essex County,Lynnfield,5/31/2022,6.1
1944,MA,Essex County,Manchester,5/31/2022,6.6
1945,MA,Essex County,Marblehead,5/31/2022,6
1949,MA,Essex County,Middleton,5/31/2022,6
1950,MA,Essex County,Newburyport,5/31/2022,6.2
1951,MA,Essex County,Newbury,5/31/2022,6.6
1952,MA,Essex County,Salisbury,5/31/2022,6.7
1960,MA,Essex County,Peabody,5/31/2022,6
1966,MA,Essex County,Rockport,5/31/2022,7.1
1969,MA,Essex County,Rowley,5/31/2022,5.2
1970,MA,Essex County,Salem,5/31/2022,6
1982,MA,Essex County,Hamilton,5/31/2022,6.1
1983,MA,Essex County,Topsfield,5/31/2022,6.5
1984,MA,Essex County,Wenham,5/31/2022,7.2
1985,MA,Essex County,West Newbury,5/31/2022,5.8
2019,MA,Norfolk County,Bellingham,5/31/2022,6.2
2020,MA,Plymouth County,Marshfield,5/31/2022,7.9
